cx_id,company_name,customer_fname,customer_lname,city,state,address,zip,email,phone_num,valid_support,notes
40010570,Sporer-Boehm,Derron,Karle,San Francisco,California,793 Butterfield Center,94169,dkarlef@bbb.org,4159710530,,
40062866,"Cronin, Herzog and Lindgren",Timmie,Legge,Hicksville,New York,0697 Ryan Center,11854,tleggeg@wikia.com,5162289057,,
40070364,Lang-Thiel,Puff,Bolin,Panama City,Florida,4 3rd Street,32405,pbolinh@geocities.com,8505527117,,
40038174,Medhurst-Ratke,Audrye,Pelham,Rochester,New York,95 International Pass,14652,apelhami@parallels.com,5852141847,,
40045312,"Frami, McKenzie and Feeney",Lanita,Twidell,Palm Bay,Florida,0 Lighthouse Bay Pass,32909,ltwidellj@yolasite.com,3217055501,,
40004697,Rau and Sons,Tome,Hayhurst,Sioux City,Iowa,90 Warrior Trail,51110,thayhurstk@cnbc.com,7129408296,,
40079246,Lang-Lowe,Rebeka,Aicheson,Glendale,California,123 International Terrace,91210,raichesonl@mit.edu,8188864466,,
40098339,"Weber, Cummings and Marks",Caritta,Spon,Cincinnati,Ohio,09 Packers Court,45238,csponm@list-manage.com,5136736472,,
40090030,Brown Inc,Loralee,Sapsed,New Haven,Connecticut,8847 Luster Alley,06538,lsapsedn@patch.com,2035943498,,
40060989,"Bergnaum, Sporer and Parisian",Shir,Ayton,Chattanooga,Tennessee,4910 Westport Terrace,37405,saytono@mozilla.org,4237801035,,
40080826,"Corwin, Johnson and Goyette",Porty,Sich,Akron,Ohio,13 Burrows Park,44393,psichp@wired.com,2343564935,,
40044260,Kerluke and Sons,Shela,Chetwynd,Long Beach,California,43439 Gulseth Alley,90831,schetwyndq@qq.com,5622196601,,
40015243,McKenzie-Hyatt,Demetri,Aronow,Chesapeake,Virginia,20 Johnson Street,23324,daronowr@unesco.org,7576922126,,
40020793,Yost-Ortiz,Rodolph,Popworth,Portland,Oregon,43 Nancy Terrace,97206,rpopworths@slate.com,5034720043,,
40076024,Goldner LLC,Wylie,Drewet,Charlotte,North Carolina,16336 Bowman Drive,28230,wdrewett@cbslocal.com,7049918136,,
40064452,Hahn LLC,Lian,Bourges,Fort Worth,Texas,6 Tennessee Terrace,76162,lbourgesu@sitemeter.com,6825955976,,
40005868,Runte-Crona,Erskine,Bridson,South Bend,Indiana,6 Butternut Street,46614,ebridsonv@joomla.org,5741492689,,
40056973,Stracke LLC,Jedediah,Crimin,Minneapolis,Minnesota,971 Kipling Lane,55458,jcriminw@deliciousdays.com,6125118392,,
40062764,Krajcik-Mertz,Rowena,Gillebride,Atlanta,Georgia,0 Sutherland Terrace,31132,rgillebridex@acquirethisname.com,4049247087,,
40087209,Farrell-Kuhic,Lenna,Robbel,Simi Valley,California,7 Meadow Valley Drive,93094,lrobbely@sina.com.cn,8058679400,,
40046085,"Kuhn, Baumbach and Vandervort",Morse,I'anson,Atlanta,Georgia,9074 Hovde Terrace,30328,miansonz@oakley.com,6781977706,,
40014706,Wilkinson-Botsford,Emelda,Jaquest,Washington,District of Columbia,17 Harper Place,20078,ejaquest10@foxnews.com,2028738377,,
40062059,Welch-Lowe,Michael,Capper,Houston,Texas,6276 Kensington Center,77085,mcapper11@cnet.com,7133937866,,
40091870,"Morar, Heller and Herzog",Becky,Hadfield,Louisville,Kentucky,50082 Crowley Pass,40256,bhadfield12@nih.gov,5021182808,,
40074891,Franecki-Kunde,Rici,Sutherden,Littleton,Colorado,25161 Springs Street,80161,rsutherden13@over-blog.com,7207771223,,
40034483,McLaughlin-Volkman,May,Wallbridge,Tulsa,Oklahoma,36 Eliot Road,74133,mwallbridge14@wisc.edu,9184401739,,
40014532,"Windler, Hagenes and Eichmann",Catarina,Gudyer,New Brunswick,New Jersey,7 Heffernan Trail,08922,cgudyer15@fotki.com,7327294730,,
40055314,Jacobi and Sons,Ginni,Grist,Nashville,Tennessee,71291 Caliangt Center,37235,ggrist16@ibm.com,6151500876,,
40023590,Stokes-Strosin,Evangeline,O'Rourke,Colorado Springs,Colorado,0873 Messerschmidt Trail,80935,eorourke17@economist.com,7192226407,,
40080831,McGlynn-Yost,Abigael,Avrahamof,Springfield,Massachusetts,24719 Transport Point,01105,aavrahamof18@networksolutions.com,4138640049,,
40036005,Schmeler-MacGyver,Abeu,Mosten,Colorado Springs,Colorado,303 South Hill,80935,amosten19@phpbb.com,7199713401,,
40048032,"Flatley, Streich and Koelpin",Tonya,Oxtiby,Canton,Ohio,86 Gina Center,44705,toxtiby1a@github.com,3301300681,,
40052055,Homenick-Bode,Adriena,Wais,Monticello,Minnesota,87 Hollow Ridge Drive,55585,awais1b@nydailynews.com,7635775976,,
40046878,Abernathy Inc,Chelsea,Sodeau,Tulsa,Oklahoma,1 Valley Edge Court,74193,csodeau1c@archive.org,9181424907,,
40083390,Batz-Deckow,Son,Fend,Boulder,Colorado,7 Duke Hill,80328,sfend1d@chicagotribune.com,3035928497,,
40083325,"Sipes, King and Gutkowski",Bonnee,Toghill,Orlando,Florida,7 Moulton Avenue,32830,btoghill1e@wikispaces.com,4073938892,,
40030728,Jacobi and Sons,Corabel,Roberson,Dayton,Ohio,769 Derek Center,45414,croberson1f@booking.com,9373524674,,
40084402,Beahan LLC,Kamillah,Eathorne,Denver,Colorado,50800 Loomis Center,80262,keathorne1g@weibo.com,3033565819,,
40048424,Kris Inc,Kin,Cregeen,San Antonio,Texas,53197 Hayes Lane,78220,kcregeen1h@ow.ly,2103839074,,
40064990,Kunde-Waelchi,Johan,Almak,Pittsburgh,Pennsylvania,587 Boyd Park,15225,jalmak1i@google.cn,4124865560,,
40088714,"Sporer, Wyman and Dietrich",Federico,Addeycott,Phoenix,Arizona,03 Saint Paul Drive,85072,faddeycott1j@census.gov,6024019059,,
40050736,Spinka LLC,Jami,Rillatt,Los Angeles,California,78 Mayer Junction,90076,jrillatt1k@samsung.com,3236361484,,
40037504,"Kohler, Buckridge and Legros",Phaedra,Hellin,Huntsville,Alabama,102 Loeprich Lane,35895,phellin1l@microsoft.com,2562443849,,
40020445,"Hayes, Jacobi and Boehm",Arlette,Colgrave,Mobile,Alabama,4035 Veith Parkway,36641,acolgrave1m@smh.com.au,2518723740,,
40084695,Murazik-Padberg,Brynn,Rigler,Independence,Missouri,4673 Goodland Hill,64054,brigler1n@weibo.com,8161920090,,
